Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Dingolay,11.04.4445485,-02.30475901,8.254,27.824,-17.902,"AG−02°638, BD−01°2476, Gaia DR2 3791263156547622784, GC 15229, HD 96063, HIP 54158, SAO 137979, PPM 178377, TYC 4924-460-1, GSC 04924-00460, 2MASS J11044445-0230475",https://en.wikipedia.org/wiki/HD_96063
Diya,02.44.0960960,-30.10085637,10.96,7.614,-7.673,"Diya, CD−30 1019, TOI-264, TIC 122612091, WASP-72, TYC 7011-487-1, 2MASS J02440959-3010085",https://en.wikipedia.org/wiki/WASP-72
Dofida,13.32.2555543,-47.16169091,7.17,24.87,-125.01,"Dofida, CD−46° 8708, GC 18290, HD 117618, HIP 66047, SAO 224228",https://en.wikipedia.org/wiki/HD_117618
Dombay,13.44.225937,48.0143206,11.577,-19.619,-23.973,"Dombay, TOI-1419, TIC 311035838, TYC 3466-819-1, GSC 03466-00819, 2MASS J13442258+4801432, HAT-P-3",https://en.wikipedia.org/wiki/HAT-P-3
Dziban,17.41.5810460,72.09248581,5.82,34.89,-275.94,"Dziban, 31 Dra, ADS 10759 AB, Gliese 694.1",https://en.wikipedia.org/wiki/Psi1_Draconis
Dìwö,15.59.509492,-28.0342313,11.500,-8.263,-9.427,"Dìwö, CD−27 10695, TOI-1050, TIC 66818296, WASP-17, TYC 6787-1927-1, 2MASS J15595095-2803422, 1SWASP J155950.94−280342.3",https://en.wikipedia.org/wiki/WASP-17
Ebla,23.09.1072701,-02.15386854,8.628,631.520,-97.214,"Ebla, BD−03°5577, HD 218566, HIP 114322, SAO 146533",https://en.wikipedia.org/wiki/HD_218566
Elgafar,14.28.1213894,-02.13406579,4.81,-139.53,-4.04,"Elgafar, φ Vir, 105 Virginis, BD−01°2957, FK5 533, GJ 550.2, GJ 9481, HD 126868, HIP 70755, HR 5409, SAO 139951",https://en.wikipedia.org/wiki/Phi_Virginis
Elkurud,06.07.3163216,-37.15105114,5.02,0.12,0.41,"Elkurud, θ Col, CD−37°2609, FK5 2468, HD 42167, HIP 29034, HR 2177, SAO 196514",https://en.wikipedia.org/wiki/Theta_Columbae
Emiw,01.10.4722139,-66.11173901,8.06,110.513,-123.283,"Emiw, CD−66°60, Gaia DR2 4704957491028733824, HD 7199, HIP 5529, SAO 248334, 2MASS J01104719-6611171",https://en.wikipedia.org/wiki/HD_7199
Fafnir,18.25.5913696,65.33485313,4.82,105.816,-26.846,"Fafnir, BD+65°1271, GC 25212, HD 170693, HIP 90344, HR 6945, SAO 17888, PPM 20916, GCRV 10941",https://en.wikipedia.org/wiki/42_Draconis
Felis,09.54.522045,-19.0033620,4.94,-45.386,-40.456,"Felis, 183 G. Hydrae, BD−18° 2810, FK5 373, GC 13644, HIP 48615, HR 3923, SAO 155588",https://en.wikipedia.org/wiki/HD_85951
Felixvarela,00.28.34306,-16.133484,9.62,-354.939,-227.995,"Felixvarela, HIP 2247, SAO 147293, PPM 208851, 2MASS J00283433-1613343",https://en.wikipedia.org/wiki/BD%E2%88%9217_63
Flegetonte,11.45.4229278,02.49173262,8.07,-188.735,-113.403,"BD+03°2549, HD 102195, HIP 57370, HR 4293, SAO 119033, LTT 13232, NLTT 28458",https://en.wikipedia.org/wiki/HD_102195
Formosa,11.35.0375320,20.26295630,6.45,-59.897,-0.996,"Formosa, BD+21°2331, HD 100655, HIP 56508, HR 4459, SAO 81886, 2MASS J11350375+2026295",https://en.wikipedia.org/wiki/HD_100655
Fumalsamakah,23.03.5261349,03.49121662,4.40,11.76,-9.85,"Fumalsamakah, Beta Psc, β Psc, 4 Psc, BD+03°4818, FK5 1602, HD 217891, HIP 113889, HR 8773, SAO 127934",https://en.wikipedia.org/wiki/Beta_Piscium
Gakyid,08.39.15803,12.573735,8.23,-114.147,-93.787,"Gakyid, BD+13°1956, HD 73534, HIP 42446, SAO 98004, PPM 125542",https://en.wikipedia.org/wiki/HD_73534
Gar,12.47.5662457,09.45050357,11.395,-1008.267,-460.034,"Gar, GJ 486, HIP 62452, Wolf 437, TOI-1827, TYC 882-1111-1, 2MASS J12475664+0945050",https://en.wikipedia.org/wiki/Gliese_486
Garnet Star,21.43.304609,58.4648166,4.08,2.740,-5.941,"Garnet Star, Herschel's Garnet Star, Erakis, μ Cep, HD 206936, HR 8316, BD+58°2316, HIP 107259, SAO 33693",https://en.wikipedia.org/wiki/Mu_Cephei
Gloas,09.20.247145,33.5256696,10.42,-2.275,-20.072,"Gloas, BD+34 1976, TOI-1767, TIC 8767448, WASP-13, TYC 2496-1114-1, 2MASS J09202471+3352567, 1SWASP J092024.70+335256.6",https://en.wikipedia.org/wiki/WASP-13
Gnomon,10.19.3800889,-09.48226058,12.46,-41.992,-38.004,"Gnomon, TOI-656, TIC 36734222, WASP-43, GSC 05490-00141, 2MASS J10193800-0948225",https://en.wikipedia.org/wiki/WASP-43
Guahayona,14.12.3753311,04.03361166,11.76,37.735,-142.816,"Guahayona, Gaia DR2 3668036348641580288, TYC 320-1027-1, GSC 0320-01027, 2MASS J14123753+0403359",https://en.wikipedia.org/wiki/HAT-P-26
Gudja,15.48.4437720,18.08296337,4.09,-52.407,-88.419,"Gudja, κ Ser, 35 Ser, NSV 7269, BD+18 3074, FK5 584, HD 141477, HIP 77450, HR 5879, SAO 101752",https://en.wikipedia.org/wiki/Kappa_Serpentis
Gumala,19.15.332301,-24.1045671,6.25,118.567,-102.364,"Gumala, V5652 Sgr, CD−24° 15161, GJ 749, HD 179949, HIP 94645, HR 7291, SAO 187883",https://en.wikipedia.org/wiki/HD_179949
Helvetios,22.57.279805,20.4607797,5.49,207.328,61.164,"Helvetios, 51 Peg, GJ 882, HR 8729, BD+19°5036, HD 217014, LTT 16750, GCTP 5568.00, SAO 90896, HIP 113357",https://en.wikipedia.org/wiki/51_Pegasi
Hoerikwaggo,06.10.1447261,-74.45109585,5.09,121.596,-212.411,"Hoerikwaggo, Alf Men, CD−74°294, FK5 239, GJ 231, HD 43834, HIP 29271, HR 2261, SAO 256274, LTT 2490",https://en.wikipedia.org/wiki/Alpha_Mensae
Honores,23.12.33004,49.242235,4.52,89.939,95.704,"Honores, 7 And, BD+48°3964, FK5 3852, HD 219080, HIP 114570, HR 8830, SAO 52787, PPM 63927",https://en.wikipedia.org/wiki/7_Andromedae
Horna,02.21.3198035,32.14460933,12.51,47.671,-21.594,"Horna, TOI-3681, TIC 285272237, GSC 02314-00559",https://en.wikipedia.org/wiki/HAT-P-38
Hunahpú,11.17.4755306,-23.58314969,8.05,-130.715,-16.761,"Hunahpú, CD−23 9857, HD 98219, HIP 55174, SAO 179747",https://en.wikipedia.org/wiki/HD_98219
Hunor,16.20.363576,41.0253107,8.71,-10.078,-29.057,"HAT-P-2, BD+41°2693, HD 147506, HIP 80076, SAO 46035",https://en.wikipedia.org/wiki/HD_147506
Illyrian,09.35.45184,34.465067,7.63,16.321,-35.251,"Illyrian, BD+35°2026, HD 82886, HIP 47087, SAO 61587",https://en.wikipedia.org/wiki/HD_82886
Inquill,17.19.5140072,-48.32575600,6.67,-33.443,-211.177,"Inquill, CD−48°11605, HD 156411, HIP 84787, SAO 227825, PPM 322823, NLTT 44550",https://en.wikipedia.org/wiki/HD_156411
Intan,03.20.4269371,-33.43483735,9.92,292.619,96.116,"Intan, CD−34°1218, HD 20868, HIP 15578, PPM 278952, LTT 1589, 2MASS J03204266-3343484",https://en.wikipedia.org/wiki/HD_20868
Intercrus,09.28.3998867,45.36053311,5.39,-7.184,-129.318,"Intercrus, 41 Lyn, BD+46 1509, GC 13051, HD 81688, HIP 46471, HR 3743, SAO 42876, CCDM J09287+4536A",https://en.wikipedia.org/wiki/41_Lyncis
Irena,16.15.5036533,10.01572843,9.447,-31.135,-39.167,"Irena, BD+10°2980, HD 146389, SAO 102042, WASP-38, 2MASS J16155036+1001572",https://en.wikipedia.org/wiki/HD_146389
Itonda,21.57.1984754,-37.45490480,7.47,101.032,-118.842,"Itonda, CD−38° 14804, HD 208487, HIP 108375, SAO 213432, PPM 302029",https://en.wikipedia.org/wiki/HD_208487
Izar,14.44.59218,27.04272,2.45,-50.818,21.024,"Izar, Pulcherrima, Mirac, Mirak, Mirach, ε Boo, 36 Boo, BD+27°2417, HIP 72105",https://en.wikipedia.org/wiki/Epsilon_Bo%C3%B6tis
Jishui,07.39.0993466,34.35035028,4.90,-37.975,-105.132,"Jishui, ο Gem, 71 Geminorum, BD+34°1649, FK5 2592, HD 61110, HIP 37265, HR 2930, SAO 60247",https://en.wikipedia.org/wiki/Omicron_Geminorum
Kaewkosin,07.59.0583953,15.23292361,12.330,-185.706,-56.994,"Kaewkosin, GJ 3470, LP 424-4, NLTT 18739, PM J07590+1523, TIC 19028197, 2MASS J07590587+1523294",https://en.wikipedia.org/wiki/GJ_3470
Kaffalmusalsala,23.40.24508,44.200216,4.139,79.998,-19.011,"Kaffalmusalsala, κ And, 19 Andromedae, BD+43°4522, FK5 1619, HD 222439, HIP 116805, HR 8976, SAO 53264, PPM 64525",https://en.wikipedia.org/wiki/Kappa_Andromedae
Kalausi,09.37.118275,-43.1619934,8.23,21.805,-120.094,"Kalausi, CD–42°5452, GC 13300, HD 83443, HIP 47202, SAO 221348, 2MASS J09371182-4316198",https://en.wikipedia.org/wiki/HD_83443
Kamuy,16.10.0391440,26.44338932,6.57,-18.354,36.856,"BD+27°2595, HD 145457, HIP 79219, SAO 84223",https://en.wikipedia.org/wiki/HD_145457
Kang,14.12.5374538,-10.16253340,4.180,7.25,139.88,"Kang, 98 Virginis, κ Vir, BD−09°3878, FK5 523, HD 124294, HIP 69427, HR 5315, SAO 158427",https://en.wikipedia.org/wiki/Kappa_Virginis
Karaka,15.35.39921,-80.121654,8.70,-49.570,41.135,"Karaka, NSV 7116, CPD–79°844, Gaia DR2 5778418870846853888, HD 137388, HIP 76351, 2MASS J15353994-8012164",https://en.wikipedia.org/wiki/HD_137388
Kaveh,18.55.4088415,04.15551651,8.02,-6.842,-90.413,"Kaveh, BD+04°3911, GJ 736, HD 175541, HIP 92895, SAO 124054",https://en.wikipedia.org/wiki/HD_175541
Khambalia,14.19.0659235,-13.22159459,4.52,-15.91,28.92,"Khambalia, 100 Virginis, λ Vir, BD−12°4018, FK5 1371, HD 125337, HIP 69974, HR 5359, SAO 158489.",https://en.wikipedia.org/wiki/Lambda_Virginis
Koeia,02.46.428869,-23.0511802,10.24,294.717,140.966,"Koeia, CD−23 1056, HIP 12961, SAO 168043, PPM 245393, LTT 1349, NLTT 8966, TYC 6434-00494-1, 2MASS J02464286-2305119",https://en.wikipedia.org/wiki/HIP_12961
Koit,07.21.331602,58.1605110,10.674,-17.008,5.463,"Koit, TOI-1721, TIC 51234631, TYC 3793-1994-1, GSC 03793-01994, 2MASS J07213317+5816051",https://en.wikipedia.org/wiki/XO-4
Komondor,13.57.334669,43.2936602,12.84,-134.793,-44.229,"Komondor, HAT-P-12, Gaia DR3 1499514786891168640, GSC 03033-00706, 2MASS J13573347+4329367, SDSS J135733.42+432936.5",https://en.wikipedia.org/wiki/HAT-P-12
Kosjenka,06.17.207485,-38.1923754,11.10,-17.469,-27.292,"Kosjenka, CD−38 2551, TOI-483, WASP-63, TYC 7612-556-1, GSC 07612-00556, 2MASS J06172074-3819237",https://en.wikipedia.org/wiki/WASP-63
La Superba,12.45.07826,45.262493,4.86,-2.968,13.063,"La Superba, Y Canum Venaticorum, HR 4846, HD 110914, BD+46°1817, FK5 1327, HIP 62223, SAO 44317, GC 17342, 152 Schjellerup",https://en.wikipedia.org/wiki/La_Superba
Libertas,19.54.148815,08.2741235,4.722,101.694,-81.141,"Libertas, ξ Aquilae, Xi Aql, ξ Aql, 59 Aquilae, BD+08 4261, GC 27558, HD 188310, HIP 97938, HR 7595, SAO 125210, PPM 168913, WDS J19542+0828AB",https://en.wikipedia.org/wiki/Xi_Aquilae
Liesma,13.34.025394,53.4342698,8.06,-85.849,-78.888,"Liesma, BD+54°1609, HD 118203, HIP 66192, SAO 28802, TOI-1271, TIC 286923464, TYC 3850-458-1",https://en.wikipedia.org/wiki/HD_118203
Lilii Borea,02.47.5454142,29.14496132,4.514,149.47,-127.05,"Lilii Borea, BD+28°462, HD 17361, HIP 13061, HR 824, SAO 75578.",https://en.wikipedia.org/wiki/39_Arietis
Lionrock,22.27.03072,-17.1549164,7.6,-85.892,-104.042,"BD−17°6526, HD 212771, HIP 110813, SAO 165086",https://en.wikipedia.org/wiki/HD_212771
Lucilinburhuc,06.28.4571108,38.57466665,7.89,-42.748,-53.736,"Lucilinburhuc, BD+39°1637, HD 45350, HIP 30860, SAO 591265, PPM 71672, TYC 2927-323-1, GSC 02927-00323",https://en.wikipedia.org/wiki/HD_45350
Lusitânia,06.29.1319200,10.56020059,8.10,206.208,-62.550,"Lusitânia, BD+11 1197, GC 8415, HD 45652, HIP 30905, SAO 95735, NLTT 16570",https://en.wikipedia.org/wiki/HD_45652
Maasym,17.30.443098,26.0638324,4.41,18.782,16.184,"λ Her, 76 Herculis, BD+26°3034, FK5 1460, HD 158899, HIP 85693, HR 6526, SAO 249461",https://en.wikipedia.org/wiki/Lambda_Herculis
Macondo,10.44.2091501,-33.34372880,8.30,-92.635,-152.119,"Macondo, CD−32°7598, GJ 1137, HD 93083, HIP 52521, SAO 201693, PPM 288057, GSC 07190-02048",https://en.wikipedia.org/wiki/HD_93083
Mago,05.09.36720,69.382185,6.42,61.031,-62.382,"Mago, AG+69°241, BD+69°302, GC 6245, HD 32518, HIP 24003, HR 1636, SAO 13382",https://en.wikipedia.org/wiki/HD_32518
Marfik,16.30.5482314,01.59021209,3.82,-30.98,-73.42,"λ Oph, 10 Oph, NSV 7784, BD+02°3118, HD 148857, HIP 80883, HR 6149, SAO 121658, ADS 10087, WDS 16309+0159",https://en.wikipedia.org/wiki/Lambda_Ophiuchi
Marsic,16.08.0495406,17.03156853,6.25,-19.465,-25.142,"Marsic, κ Her, 7 Herculis, CCDM J16081+1703, NSV 7471, AAVSO 1603+17, WDS 16081+1703",https://en.wikipedia.org/wiki/Kappa_Herculis
Maru,08.06.5375366,-66.18167011,13.71,335.519,-288.994,"Maru, GJ 3483, BPM 4834, L 97-3, LAWD 27, LTT 3059, NLTT 19008, WD 0806-661, WD 0806−66, GSC 08936−01284, 2MASS J08065373−6618167, GEN# +6.00204834, uvby98 986097003, WG 12",https://en.wikipedia.org/wiki/WD_0806%E2%88%92661
Mazaalai,11.25.059859,41.0140665,11.46,-1.142,13.523,"Mazaalai, HAT-P-21, TOI-1800, TIC 17993892, TYC 3013-1229-1, GSC 03013-01229, 2MASS J11250598+4101406",https://en.wikipedia.org/wiki/HAT-P-21
Mekbuda,07.04.0653079,20.34130739,3.93,-7.29,-0.41,"Mekbuda, ζ Gem, 43 Gem, BD+20°1687, FK5 269, HD 52973, HIP 34088, HR 2650, SAO 79031, WDS J07041+2034A",https://en.wikipedia.org/wiki/Zeta_Geminorum
Meleph,08.40.1809670,19.31551636,7.535,-36.251,-12.118,"CCDM J08404+1932, WDS J08405+1933",https://en.wikipedia.org/wiki/Epsilon_Cancri
Menkib,03.58.5790229,35.47277132,4.04,3.62,1.74,"46 Per, HR 1228, HD 24912, FK5 148, SAO 56856, HIP 18614, BD+35°775",https://en.wikipedia.org/wiki/Xi_Persei
Merga,14.49.1867062,46.06583369,5.76,-6.404,-78.073,"Merga, Marrha, El Mara el Musalsela, Falx Italica, h Boötis, 38 Boo, BD+46°1993, FK5 1383, GC 19959, HD 130945, HIP 72487, HR 5533, SAO 45226",https://en.wikipedia.org/wiki/38_Bo%C3%B6tis
Meridiana,19.09.2834097,-37.54161022,4.102,84.87,-95.99,"Meridiana, α CrA, Alf CrA, CD−38°13350, FK5 718, GC 26360, HD 178253, HIP 94114, HR 7254, SAO 210990, IRAS 19060-3759, 2MASS J19092834-3754157",https://en.wikipedia.org/wiki/Alpha_Coronae_Australis
Merope,03.46.195859,23.5654092,4.18,13.075,-48.404,"Merope, 23 Tau, V971 Tauri, HR 1156, BD+23°522, HD 23480, HIP 17608, SAO 76172, GC 4512, CCDM J03463+2357A",https://en.wikipedia.org/wiki/Merope_(star)
Mesarthim,01.53.31813,19.173788,3.86,77.138,-97.321,"5 Ari, BD+18 243, HIP 8832, WDS J01535+1918",https://en.wikipedia.org/wiki/Gamma_Arietis
Minchir,08.38.4543747,03.20291701,4.48,-19.48,-15.92,"σ Hya, 5 Hydrae, BD+03°2026, FK5 1224, HD 73471, HIP 42402, HR 3418, SAO 116988",https://en.wikipedia.org/wiki/Sigma_Hydrae
Mira,02.19.2079210,-02.58394956,2.0,9.33,-237.36,"Stella Mira, Collum Ceti, Wonderful Star, ο Ceti, 68 Ceti, BD−03°353, HD 14386, HIP 10826, HR 681, LTT 1179, SAO 129825",https://en.wikipedia.org/wiki/Mira
Moldoveanu,16.02.118462,28.1010420,11.19,-17.349,14.780,"Moldoveanu, BD+28 2507, TOI-2021, TIC 236312126, TYC 2041-1657-1, GSC 02041-01657, 2MASS J16021184+2810105",https://en.wikipedia.org/wiki/XO-1
Mönch,14.47.327262,-00.1653308,8.04,-130.476,-140.246,"Mönch, BD+00 3243, HD 130322, HIP 72339, LTT 5873, NLTT 38386",https://en.wikipedia.org/wiki/HD_130322
Morava,23.46.399747,31.09213744,12.18,30.247,-6.005,"Morava, Gaia DR3 2868528637464028160, TYC 2767-1746-1, 2MASS J23463997+3109213",https://en.wikipedia.org/wiki/WASP-60
Moriah,20.24.297235,16.4543812,11.94,13.325,-5.505,"Moriah, TYC 1632-1396-1, GSC 01632-01396, 2MASS J20242972+1645437",https://en.wikipedia.org/wiki/HAT-P-23
Mouhoun,04.50.178614408264,-24.2207833769068,7.911,18.469,-19.837,"CD−24 2616, Gaia DR3 4893980371818915456, HD 30856, HIP 22491, SAO 169805, TIC 612908, TYC 6466-1769-1, GSC 06466-01769, 2MASS J04501787-2422077",https://en.wikipedia.org/wiki/HD_30856
Mpingo,01.57.03204,00.453188,10.56,23.418,-6.844,"Mpingo, BD+00 316, Gaia DR2 2507901914613005056, WASP-71, TYC 30-116-1, 2MASS J01570320+0045318",https://en.wikipedia.org/wiki/BD%2B00_316
Muliphein,07.03.4549305,-15.37598300,4.10,-0.14,-11.36,"Muliphein, Muliphen, 23 Canis Majoris, BD−15°1625, FK5 271, HD 53244, HR 2657, HIP 34045, SAO 152303",https://en.wikipedia.org/wiki/Gamma_Canis_Majoris
Musica,20.58.2593353,10.50214309,5.506,-49.921,-34.509,"Musica, 18 Del, BD+10°4425, GC 29266, HD 199665, HIP 103527, HR 8030, SAO 106712, WDS J20584+1050A",https://en.wikipedia.org/wiki/18_Delphini
Muspelheim,02.12.3147875,51.46435637,11.83,-9.972,1.790,"Muspelheim, TYC 3293-1539-1, GSC 03293-01539, 2MASS J02123147+5146435",https://en.wikipedia.org/wiki/HAT-P-29
Márohu,23.12.3773683,-22.40262738,11.9,-23.264,-37.143,"Márohu, TOI-231, TIC 204376737, WASP-6, TYC 6972-75-1, 2MASS J23123773-2240261, DENIS J231237.7-224025, UCAC2 22823425",https://en.wikipedia.org/wiki/WASP-6
Mönch,14.47.327262,-00.1653308,8.04,-130.476,-140.246,"Mönch, BD+00 3243, HD 130322, HIP 72339, LTT 5873, NLTT 38386",https://en.wikipedia.org/wiki/HD_130322
Nahn,09.09.21541,22.024358,5.15,-3.147,9.159,"Nahn, ξ Cnc, 77 Cancri, BD+22°2061, FK5 1239, GC 12635, HD 78515, HIP 44946, HR 3627, SAO 80666, WDS J09094+2203AB",https://en.wikipedia.org/wiki/Xi_Cancri
Naledi,05.48.3359333,-63.59183884,10.21,-15.439,26.151,"Naledi, CPD−64 484, TOI-102, TIC 149603524, WASP-62, TYC 8900-874-1, GSC 08900-00874, 2MASS J05483359-6359183",https://en.wikipedia.org/wiki/WASP-62
Násti,08.18.2217286,61.27385950,8.20,128.266,30.427,"Násti, BD+61°1038, HD 68988, HIP 40687, SAO 14494",https://en.wikipedia.org/wiki/HD_68988
Natasha,09.50.024969,-49.4724958,8.54,29.8018,-60.245,"Natasha, CD−49°4727, Gaia DR2 5406324138654973824, HD 85390, HIP 48235, SAO 221526, 2MASS J09500249-4947250",https://en.wikipedia.org/wiki/HD_85390
Nenque,01.04.4015027,-39.29175842,7.71,-170.033,-527.946,"Nenque, CD–40°239, GJ 9037, HD 6434, HIP 5054, SAO 192911, LFT 102, LHS 1188, LPM 57, LTT 610, GCRV 51158, 2MASS J01044015-3929173",https://en.wikipedia.org/wiki/HD_6434
Nervia,06.51.3051621,40.52039241,8.10,34.682,-122.686,"Nervia, BD+41°1544, HD 49674, HIP 32916, SAO 41390, PPM 49392, TYC 2946-426-1, GSC 02946-00426",https://en.wikipedia.org/wiki/HD_49674
Noquisi,11.42.1109334,26.42236508,~10.68,895.088,-813.550,"Noquisi, GJ 436, HIP 57087, LHS 310, LTT 13213, Ross 905, 2MASS J11421096+2642251",https://en.wikipedia.org/wiki/Gliese_436
